Time,State,Humidity,Temperature
1,Before,70.51666667,32.19333333
2,Before,70.29333333,32.23
3,Before,70.05333333,32.25
4,Before,69.75666667,32.25333333
5,Before,69.43666667,32.26
6,Before,69.03666667,32.26333333
7,Before,68.63,32.25666667
8,Before,68.22,32.24333333
9,Before,67.83,32.25666667
10,Before,67.62666667,32.23666667
11,Before,67.84666667,32.24333333
12,Before,68.22333333,32.24333333
13,Before,68.41,32.24666667
14,Before,68.90333333,32.25333333
15,Before,69.55666667,32.26333333
16,Before,70.32,32.27333333
17,Before,70.62,32.27333333
18,Before,70.79333333,32.26333333
19,Before,70.83333333,32.27
20,Before,70.84333333,32.26666667
21,Before,70.81333333,32.26666667
22,After,70.25,32.21
23,After,70.07333333,32.22666667
24,After,69.88333333,32.24
25,After,69.67666667,32.24333333
26,After,69.43333333,32.24
27,After,69.10666667,32.24666667
28,After,68.77333333,32.23666667
29,After,68.39666667,32.22666667
30,After,68.07666667,32.21666667
31,After,67.79666667,32.2
32,After,67.76666667,32.20333333
33,After,68.00666667,32.20666667
34,After,68.17666667,32.20333333
35,After,68.48666667,32.2
36,After,68.99333333,32.21666667
37,After,69.58333333,32.21333333
38,After,70.00666667,32.22
39,After,70.25,32.21333333
40,After,70.38666667,32.21333333
41,After,70.44333333,32.21
42,After,70.5,32.21666667
