Time,State,Temperature,Humidity
1,Before,35.87333333,64.71666667
2,Before,35.9,64.91666667
3,Before,35.97,64.77333333
4,Before,35.98333333,64.19333333
5,Before,35.97666667,63.51
6,Before,35.97333333,62.79666667
7,Before,35.97666667,62.07
8,Before,35.96666667,61.39
9,Before,35.99,61.60333333
10,Before,36.02,63.27
11,Before,36.04333333,63.37666667
12,Before,36.07,63.60666667
13,Before,36.06666667,63.69666667
14,Before,36.08333333,63.19666667
15,Before,36.09333333,63.50666667
16,Before,36.08,63.39
17,Before,36.07,62.68666667
18,After,35.77,64.95666667
19,After,35.78666667,65.08666667
20,After,35.81,65.20666667
21,After,35.82333333,64.77
22,After,35.82666667,64.12333333
23,After,35.83666667,63.44666667
24,After,35.83333333,62.74333333
25,After,35.83333333,62.06
26,After,35.83666667,61.96333333
27,After,35.84333333,63.49
28,After,35.87666667,63.86333333
29,After,35.89,64
30,After,35.89666667,64.22666667
31,After,35.90333333,63.85
32,After,35.90666667,63.96
33,After,35.91333333,63.93
34,After,35.90666667,63.42666667
