Time,State,Temperature,Humidity
1,Before,40.05,68.34666667
2,Before,40.02333333,67.94666667
3,Before,40.05,68.47666667
4,Before,40.01,67.82
5,Before,40.03666667,68.16
6,Before,39.99,67.63666667
7,Before,40.02666667,68.23
8,Before,40.02,68.34
9,Before,40.01,68.42333333
10,Before,40.04333333,68.98666667
11,Before,40.00666667,68.53333333
12,Before,40.03,69.20666667
13,Before,39.96333333,68.33333333
14,Before,39.98333333,68.72333333
15,Before,39.93666667,68.39
16,Before,39.92333333,68.68333333
17,Before,39.85333333,67.86666667
18,Before,39.35333333,69.17
19,Before,37.82333333,68.99
20,Before,37.07666667,65.39333333
21,Before,36.16333333,62.26333333
22,After,40.14666667,67.95333333
23,After,40.13,67.48333333
24,After,40.16333333,68.06333333
25,After,40.12333333,67.38333333
26,After,40.15,67.75333333
27,After,40.11,67.16666667
28,After,40.13666667,67.80333333
29,After,40.13666667,67.90333333
30,After,40.14,67.95333333
31,After,40.15333333,68.52666667
32,After,40.12333333,68.08333333
33,After,40.14666667,68.76333333
34,After,40.09666667,67.85333333
35,After,40.11,68.26333333
36,After,40.06,67.90333333
37,After,40.04666667,68.19333333
38,After,39.97666667,67.35666667
39,After,39.64333333,68.22666667
40,After,38.29666667,67.44
41,After,37.71,63.72333333
42,After,36.97333333,60.08333333
