Time,State,Temperature,Humidity
1,Before,36.49333333,57.06666667
2,Before,36.51,56.46
3,Before,36.51,56.32
4,Before,36.50333333,56.12666667
5,Before,36.52,55.96666667
6,Before,36.52,56.01
7,Before,36.50666667,55.83666667
8,Before,36.5,56.05
9,Before,36.49333333,55.89666667
10,Before,36.49333333,56.09333333
11,Before,36.48666667,55.79
12,Before,36.48,55.78666667
13,Before,36.45333333,55.79666667
14,Before,36.44666667,55.86666667
15,Before,36.43333333,55.94666667
16,Before,36.42,56.04
17,Before,36.43,56.11666667
18,Before,36.42,56.2
19,Before,36.41333333,56.37333333
20,Before,36.39666667,56.26
21,Before,36.37333333,55.87
22,After,36.51666667,56.92333333
23,After,36.53,56.34333333
24,After,36.53,56.19333333
25,After,36.53333333,55.94666667
26,After,36.53666667,55.86
27,After,36.52666667,55.84666667
28,After,36.52333333,55.70666667
29,After,36.51333333,55.86666667
30,After,36.51,55.75666667
31,After,36.50333333,55.94
32,After,36.48666667,55.68333333
33,After,36.48,55.63666667
34,After,36.47666667,55.61666667
35,After,36.46666667,55.65666667
36,After,36.45666667,55.78333333
37,After,36.44,55.83666667
38,After,36.44,55.92333333
39,After,36.43333333,56.07333333
40,After,36.42666667,56.2
41,After,36.40333333,56.13333333
42,After,36.39666667,55.72333333
