Time,State,Temperature,Humidity
1,Before,41.05666667,70.71333333
2,Before,41.10333333,71.65666667
3,Before,41.14333333,72.47666667
4,Before,41.18666667,73.13666667
5,Before,41.20333333,73.03333333
6,Before,41.21,72.75333333
7,Before,41.26,73.11333333
8,Before,41.30333333,73.50666667
9,Before,41.34,73.88
10,Before,41.34333333,73.23666667
11,Before,41.37666667,73.34
12,Before,41.41333333,73.54666667
13,Before,41.45,73.67
14,Before,41.47333333,73.73333333
15,Before,41.50333333,73.72
16,Before,41.53,73.67666667
17,Before,41.55666667,73.53
18,Before,41.57,73.44333333
19,Before,41.57333333,73.22666667
20,Before,41.55333333,73.06666667
21,Before,41.47,71.73333333
22,After,41.17333333,70.26666667
23,After,41.21,71.21666667
24,After,41.25,72.04333333
25,After,41.29333333,72.72
26,After,41.31,72.58
27,After,41.32333333,72.30666667
28,After,41.37,72.66
29,After,41.40666667,73.07
30,After,41.44666667,73.45
31,After,41.45,72.81
32,After,41.48,72.9
33,After,41.51333333,73.1
34,After,41.55333333,73.23333333
35,After,41.58,73.3
36,After,41.61,73.29
37,After,41.63666667,73.24
38,After,41.65,73.1
39,After,41.68,73
40,After,41.68333333,72.8
41,After,41.65333333,72.61666667
42,After,41.59,71.29333333
