Time,State,Humidity,Temperature
1,Before,66.1533,36.31333333
2,Before,67.21,36.13666667
3,Before,67.18,36.04333333
4,Before,67.4933,36.03
5,Before,66.6767,35.96666667
6,Before,66.6933,35.96333333
7,Before,66.9033,35.94333333
8,Before,66.3933,35.92
9,Before,66.7,35.93
10,Before,67.11,35.91333333
11,Before,66.8467,35.89
12,Before,66.9433,35.88
13,Before,67.3467,35.88666667
14,Before,67.2167,35.88
15,Before,67.0233,35.88
16,Before,67.2067,35.88333333
17,Before,66.58,35.87333333
18,Before,66.8233,35.9
19,Before,66.38,35.9
20,Before,66.7067,35.92
21,Before,66.8933,35.94333333
22,After,65.28,36.47
23,After,66.0733,36.37
24,After,66.0633,36.28
25,After,66.4567,36.25333333
26,After,65.6733,36.18666667
27,After,65.7533,36.17
28,After,65.9033,36.14333333
29,After,65.48,36.10666667
30,After,65.8233,36.1
31,After,66.1967,36.09
32,After,65.92,36.06666667
33,After,66.1233,36.05333333
34,After,66.4833,36.05333333
35,After,66.3633,36.03666667
36,After,66.2733,36.04
37,After,66.3933,36.03333333
38,After,65.86,36.01333333
39,After,66.1267,36.03
40,After,65.6667,36.01666667
41,After,66.0467,36.03666667
42,After,66.1933,36.05333333
