Time,State,Temperature,Humidity
1,Before,39.8,66.15
2,Before,39.83,65.58333333
3,Before,39.87666667,65.2
4,Before,39.90666667,66.18666667
5,Before,39.93333333,66.74666667
6,Before,39.97666667,67.89
7,Before,40.02333333,69.20333333
8,Before,40.05333333,70.57
9,Before,40.09,71.52
10,Before,40.12333333,71.47333333
11,Before,40.14666667,72.00666667
12,Before,40.15666667,71.84666667
13,Before,40.15666667,72.24666667
14,Before,40.19333333,72.80666667
15,Before,40.19666667,72.28333333
16,Before,40.18,71.36666667
17,Before,40.15333333,70.30666667
18,Before,40.13333333,69.19333333
19,Before,40.09333333,68.17333333
20,Before,40.06333333,67.14666667
21,Before,40.03333333,66.10333333
22,After,39.75333333,66.39666667
23,After,39.76666667,65.94666667
24,After,39.77,65.60666667
25,After,39.78333333,66.35
26,After,39.80666667,67.08
27,After,39.83,68.01666667
28,After,39.85666667,69.37666667
29,After,39.89,70.74333333
30,After,39.92666667,71.79333333
31,After,39.95666667,71.87333333
32,After,39.97666667,72.38333333
33,After,39.99666667,72.29333333
34,After,40.01333333,72.57666667
35,After,40.03333333,73.16666667
36,After,40.05,72.81
37,After,40.05333333,71.94
38,After,40.04,70.91666667
39,After,40.02666667,69.82333333
40,After,40.00666667,68.76666667
41,After,39.98333333,67.75333333
42,After,39.96666667,66.77
