Time,State,Humidity,Temperature
1,Before,40.95666667,31.72333333
2,Before,40.92,31.76
3,Before,40.95333333,31.77
4,Before,40.96666667,31.78
5,Before,40.96666667,31.80666667
6,Before,41.00333333,31.82333333
7,Before,41.07333333,31.82
8,Before,41.12,31.83333333
9,Before,41.18,31.85
10,Before,41.20333333,31.85666667
11,Before,41.26,31.85666667
12,After,40.86333333,31.7
13,After,40.89,31.71333333
14,After,40.95,31.71666667
15,After,40.95,31.72333333
16,After,40.99333333,31.73333333
17,After,41.05333333,31.73333333
18,After,41.12333333,31.74666667
19,After,41.18333333,31.75
20,After,41.22666667,31.75666667
21,After,41.28333333,31.75666667
22,After,41.31666667,31.75666667
