Time,State,Humidity,Temperature
1,Before,51.30666667,36.84
2,Before,53.31333333,36.90666667
3,Before,54.13,36.93
4,Before,55.57,36.99666667
5,Before,56.64333333,37.04666667
6,Before,56.28333333,37.06
7,Before,57.33333333,37.13333333
8,Before,56.77333333,37.12666667
9,Before,57.70666667,37.19666667
10,Before,57.04333333,37.19666667
11,Before,57.17333333,37.23333333
12,Before,56.64666667,37.23333333
13,Before,57.12333333,37.26666667
14,Before,57.13333333,37.24666667
15,Before,57.13333333,37.24
16,Before,57.71,37.22666667
17,Before,57.31333333,37.16666667
18,Before,57.97333333,37.14
19,Before,57.52333333,37.05333333
20,Before,57.82666667,36.99333333
21,Before,57.47,36.89333333
22,After,50.95666667,36.87
23,After,52.85666667,36.93
24,After,53.76,36.96333333
25,After,55.23666667,37.02666667
26,After,56.22666667,37.07
27,After,56.00666667,37.08666667
28,After,57.02333333,37.15
29,After,56.50666667,37.15666667
30,After,57.45333333,37.20666667
31,After,56.80666667,37.21333333
32,After,56.90666667,37.23666667
33,After,56.37666667,37.23666667
34,After,56.88,37.28
35,After,56.75,37.26666667
36,After,56.85666667,37.28
37,After,57.34333333,37.26666667
38,After,56.96333333,37.23666667
39,After,57.57,37.21666667
40,After,57.08666667,37.14666667
41,After,57.30666667,37.09666667
42,After,56.93333333,37.02333333
