Time,State,Temperature,Humidity
1,Before,36.11333333,66.90333333
2,Before,36.05666667,66.02
3,Before,36.00666667,65.19666667
4,Before,35.93666667,64.41
5,Before,35.9,64.16666667
6,Before,35.85666667,64.30333333
7,Before,35.83666667,65.97333333
8,Before,35.82,67.16666667
9,Before,35.76333333,67.10666667
10,Before,35.73333333,67.68333333
11,Before,35.67666667,66.9
12,Before,35.61333333,66.13
13,Before,35.6,67.01666667
14,Before,35.54333333,66.36333333
15,Before,35.49666667,65.54333333
16,Before,35.44333333,64.76
17,Before,35.40666667,65.63
18,Before,35.38,66.71666667
19,Before,35.33,65.98
20,Before,35.31333333,66.89666667
21,Before,35.25333333,65.2
22,After,36.15,66.83
23,After,36.1,65.90666667
24,After,36.04333333,65.08333333
25,After,35.98,64.29333333
26,After,35.93333333,64.05666667
27,After,35.89,64.17666667
28,After,35.86666667,65.81666667
29,After,35.83666667,67.16666667
30,After,35.79,66.97
31,After,35.76,67.66666667
32,After,35.70666667,66.83
33,After,35.63666667,66.10333333
34,After,35.62,66.99
35,After,35.56666667,66.33666667
36,After,35.50666667,65.51333333
37,After,35.45666667,64.71
38,After,35.42,65.55
39,After,35.39,66.69
40,After,35.34,65.99333333
41,After,35.32333333,66.89
42,After,35.26,65.16333333
