Time,State,Humidity,Temperature
1,Before,74.47,32.24666667
2,Before,73.95,32.15333333
3,Before,73.09,32.05
4,Before,72.32,31.97
5,Before,72.95333333,31.99
6,Before,73.19,31.98
7,Before,72.29,31.94333333
8,Before,72.28666667,31.96333333
9,Before,73.02333333,32.01333333
10,Before,73.38666667,32.02333333
11,Before,73.22666667,32.02333333
12,Before,73.68,32.05333333
13,Before,73.13666667,32.03333333
14,Before,73.45666667,32.06666667
15,Before,72.97333333,32.04666667
16,Before,73.21666667,32.07666667
17,Before,72.72666667,32.04666667
18,Before,72.87666667,32.05
19,Before,72.90666667,32.05666667
20,Before,72.45333333,32.03666667
21,Before,72.59666667,32.03333333
22,After,73.07333333,32.55333333
23,After,72.60666667,32.45
24,After,71.79666667,32.35666667
25,After,71.06666667,32.26333333
26,After,71.67333333,32.25333333
27,After,72.03333333,32.23333333
28,After,71.20666667,32.19
29,After,71.17333333,32.17666667
30,After,71.96666667,32.21333333
31,After,72.43333333,32.22666667
32,After,72.25333333,32.21
33,After,72.73666667,32.22666667
34,After,72.24,32.20666667
35,After,72.56333333,32.22666667
36,After,72.13,32.20666667
37,After,72.39,32.22
38,After,71.92666667,32.20333333
39,After,72.04666667,32.2
40,After,72.14333333,32.19666667
41,After,71.69666667,32.17666667
42,After,71.81333333,32.17
