Time,State,Temperature,Humidity
1,Before,39.77666667,63.22666667
2,Before,39.81333333,63.2
3,Before,39.81333333,63.22
4,Before,39.78,63.33
5,Before,39.74333333,63.43
6,Before,39.70666667,63.49
7,Before,39.68,63.52666667
8,Before,39.66,63.41666667
9,Before,39.64666667,63.33
10,Before,39.61333333,63.17
11,Before,39.61666667,62.97
12,Before,39.62333333,62.72
13,Before,39.66,62.31
14,Before,39.70666667,61.85
15,Before,39.75666667,61.35
16,Before,39.81333333,60.79666667
17,Before,39.85666667,60.28333333
18,Before,39.91333333,59.74666667
19,Before,39.94333333,59.23666667
20,Before,39.96,58.72666667
21,Before,39.95666667,58.29666667
22,Before,39.95666667,57.84333333
23,Before,39.93666667,57.42333333
24,Before,39.92333333,56.96333333
25,Before,39.90333333,56.53666667
26,Before,39.88666667,56.09
27,Before,39.87333333,55.63
28,Before,39.85666667,55.14666667
29,Before,39.84,54.65
30,Before,39.83,54.22
31,Before,39.81333333,53.8
32,Before,39.80333333,53.39
33,Before,39.8,53.08333333
34,Before,39.81,53.05
35,Before,39.84333333,53.16333333
36,Before,39.87,53.45666667
37,Before,39.96,55.49
38,Before,40.02333333,57.49666667
39,Before,40.04666667,57.80333333
40,Before,40.1,59.45666667
41,Before,40.17333333,61.51
42,Before,40.22666667,63.51666667
43,Before,40.26666667,64.66
44,Before,40.28666667,65.54666667
45,Before,40.30333333,65.85
46,Before,40.35,66.95
47,Before,40.36,67.17666667
48,Before,40.37,66.97
49,Before,40.39333333,67.2
50,Before,40.41,67.31666667
51,Before,40.40666667,66.90666667
52,Before,40.44666667,67.12
53,Before,40.47666667,67.55
54,Before,40.45666667,66.75
55,Before,40.48666667,66.80666667
56,Before,40.49666667,66.71666667
57,Before,40.51666667,66.46333333
58,Before,40.54333333,66.64
59,Before,40.58,67.02666667
60,Before,40.59,67.09
61,Before,40.60333333,66.85666667
62,Before,40.63333333,67.00666667
63,Before,40.67,67.37
64,Before,40.68666667,67.25
65,Before,40.69666667,67.10666667
66,Before,40.72333333,67.16333333
67,Before,40.71666667,66.79333333
68,Before,40.74333333,66.64333333
69,Before,40.79,67.08
70,Before,40.79333333,66.86666667
71,Before,40.82333333,66.96666667
72,Before,40.85333333,67.15666667
73,Before,40.86,66.88
74,Before,40.9,67.37
75,Before,40.90333333,66.94666667
76,Before,40.94333333,67.45666667
77,Before,40.94666667,67.01666667
78,Before,40.98333333,67.48666667
79,Before,41.00666667,67.42
80,Before,41.01333333,67.35666667
81,Before,41.02333333,66.84333333
82,Before,41.06,67.09666667
83,Before,41.1,67.47
84,Before,41.09,66.94666667
85,Before,41.12666667,67.06666667
86,Before,41.16666667,67.28
87,Before,41.18,67.45666667
88,Before,41.21,67.57333333
89,Before,41.23333333,67.6
90,Before,41.25,67.62
91,Before,41.27,67.56
92,Before,41.29333333,67.43333333
93,Before,41.29666667,67.29
94,Before,41.32,67.07666667
95,Before,41.33,66.82
96,Before,41.33333333,66.52333333
97,Before,41.34,66.21333333
98,Before,41.34666667,65.84333333
99,Before,41.34666667,65.39666667
100,Before,41.35333333,64.96
101,Before,41.34333333,64.41666667
102,Before,41.34666667,63.89333333
103,Before,41.34,63.3
104,Before,41.33333333,62.68
105,Before,41.33,62.06666667
106,Before,41.31666667,61.59
107,Before,41.32333333,61.29
108,Before,41.35333333,62.07
109,Before,41.42,63.98
110,Before,41.46,65.60333333
111,Before,41.45333333,65.85
112,Before,41.47333333,66.81666667
113,Before,41.44333333,67.31333333
114,Before,41.39,67.44
115,Before,41.36333333,68.09
116,Before,41.22666667,67.53666667
117,Before,41.15333333,67.8
118,Before,41.06333333,68.26666667
119,Before,40.94,67.75333333
120,Before,40.86,67.87333333
121,Before,40.74666667,67.3
122,Before,40.68,67.65
123,Before,40.58333333,67.49
124,Before,40.52333333,67.6
125,Before,40.48,68.02333333
126,Before,40.38333333,67.7
127,Before,40.35333333,68.06333333
128,Before,40.29,68.07333333
129,Before,40.22666667,67.84666667
130,Before,40.17333333,67.96
131,Before,40.11,67.70666667
132,Before,40.08666667,67.66
133,Before,40.07666667,67.84333333
134,Before,40.04666667,67.45
135,Before,40.05333333,67.57333333
136,Before,40.05333333,67.81
137,Before,40.03666667,67.44
138,Before,40.05666667,67.75
139,Before,40.03666667,67.66
140,Before,40.03333333,67.75666667
141,Before,40.01666667,67.37333333
142,Before,40.01666667,67.28
143,Before,40.01,67.38
144,Before,40,67.00333333
145,Before,40.01333333,67.40333333
146,Before,39.98333333,67.03
147,Before,39.99333333,67.31
148,Before,39.99666667,67.68666667
149,Before,40,67.95333333
150,Before,39.99666667,68.17333333
151,Before,39.99,68.29666667
152,Before,39.98333333,68.35666667
153,Before,39.98666667,68.29666667
154,Before,39.97,68.16
155,Before,39.96333333,67.94666667
156,Before,39.95,67.67666667
157,Before,39.93,67.37
