Time,State,Temperature,Humidity
1,Before,36.25,56.36
2,Before,36.29666667,57.22333333
3,Before,36.34333333,57.52
4,Before,36.41,58.13666667
5,Before,36.46,58.56666667
6,Before,36.5,58.38666667
7,Before,36.51333333,58.07666667
8,Before,36.57333333,58.34
9,Before,36.57333333,57.75333333
10,Before,36.63666667,58.07333333
11,Before,36.64333333,57.60333333
12,Before,36.71,57.93666667
13,Before,36.74333333,58.10666667
14,Before,36.79,57.90333333
15,Before,36.84666667,58.49666667
16,Before,36.85333333,58.02
17,Before,36.89333333,58.21666667
18,Before,36.91666667,57.84666667
19,Before,36.92666667,57.56
20,Before,36.99,57.59333333
21,Before,37.02333333,57.89666667
22,After,36.29333333,56.12
23,After,36.34666667,56.94
24,After,36.39666667,57.26
25,After,36.46,57.94
26,After,36.50333333,58.31
27,After,36.54333333,58.22
28,After,36.55666667,57.82666667
29,After,36.62,58.18666667
30,After,36.63,57.57
31,After,36.68666667,57.9
32,After,36.70333333,57.4
33,After,36.75,57.76
34,After,36.79,57.88
35,After,36.83666667,57.75
36,After,36.89,58.34666667
37,After,36.90666667,57.86
38,After,36.94333333,58.05333333
39,After,36.98,57.68666667
40,After,36.97666667,57.33
41,After,37.03,57.43666667
42,After,37.06333333,57.7
