Time,State,Temperature,Humidity
1,Before,39.54,69.82666667
2,Before,39.51666667,69.99333333
3,Before,39.51666667,71.80666667
4,Before,39.51333333,73.5
5,Before,39.51666667,75
6,Before,39.49666667,75.02333333
7,Before,39.45666667,73.74
8,Before,39.39666667,72.38666667
9,Before,39.34666667,71.06666667
10,Before,39.29666667,69.83333333
11,Before,39.27666667,69.76333333
12,Before,39.25666667,69.76
13,Before,39.24,70.22666667
14,Before,39.20666667,69.9
15,Before,39.18666667,69.37333333
16,Before,39.15666667,69.4
17,Before,39.14666667,69.76
18,Before,39.13,69.41333333
19,Before,39.12333333,69.57333333
20,Before,39.10666667,69.55333333
21,Before,39.09,70.04
22,After,39.56333333,69.72
23,After,39.53666667,69.9
24,After,39.53666667,71.73666667
25,After,39.52666667,73.45666667
26,After,39.52333333,74.98666667
27,After,39.50666667,75.14333333
28,After,39.46,73.73666667
29,After,39.42,72.35
30,After,39.37,71.03
31,After,39.32,69.82
32,After,39.29666667,69.65
33,After,39.27333333,69.65
34,After,39.26666667,70.19
35,After,39.23333333,69.80333333
36,After,39.21,69.30666667
37,After,39.19666667,69.36333333
38,After,39.18,69.70666667
39,After,39.16,69.31666667
40,After,39.14333333,69.54
41,After,39.12666667,69.45333333
42,After,39.12333333,69.95666667
