Time,State,Humidity,Temperature
1,Before,69.72,32.22
2,Before,70.81333333,32.31333333
3,Before,70.28,32.35
4,Before,71.47333333,32.47666667
5,Before,70.83,32.52666667
6,Before,71.53333333,32.63666667
7,Before,71.36,32.71333333
8,Before,71.29333333,32.81666667
9,Before,71.61666667,32.90666667
10,Before,71.44,32.99333333
11,Before,71.73666667,33.08
12,Before,71.44333333,33.16666667
13,Before,72.77333333,33.29
14,Before,71.95333333,33.31
15,Before,72.91666667,33.40333333
16,Before,72.69666667,33.40333333
17,Before,73.03333333,33.40333333
18,Before,72.72666667,33.35
19,Before,73.41666667,33.31
20,Before,72.71666667,33.19666667
21,Before,72.49666667,33.1
22,After,68.29,32.52333333
23,After,69.43,32.56666667
24,After,69.09666667,32.58
25,After,70.34,32.67
26,After,69.83666667,32.69666667
27,After,70.57666667,32.78666667
28,After,70.52,32.85333333
29,After,70.45666667,32.93
30,After,70.87666667,33.00666667
31,After,70.71666667,33.08666667
32,After,71.08666667,33.17666667
33,After,70.79666667,33.24333333
34,After,72.13666667,33.36333333
35,After,71.34333333,33.38333333
36,After,72.30333333,33.47
37,After,72.07333333,33.48666667
38,After,72.38333333,33.49333333
39,After,72.01333333,33.44666667
40,After,72.7,33.42
41,After,71.96666667,33.33333333
42,After,71.67,33.24
