Time,State,Humidity,Temperature
1,Before,62.81,40.41333333
2,Before,63.21,40.42
3,Before,63.18,40.42
4,Before,63.11,40.43
5,Before,63.04333333,40.42
6,Before,62.74,40.41333333
7,Before,62.75,40.41
8,Before,62.79,40.42333333
9,Before,62.51,40.41333333
10,Before,62.42,40.40333333
11,Before,62.31666667,40.39666667
12,Before,61.92333333,40.4
13,Before,62.1,40.38333333
14,Before,62.3,40.38
15,Before,62.52,40.38333333
16,Before,62.37666667,40.38
17,Before,61.93,40.36
18,Before,61.33333333,40.33666667
19,Before,60.64666667,40.31333333
20,Before,60.4,40.29
21,Before,60.75,40.28
22,After,62.77666667,40.45666667
23,After,62.86333333,40.40333333
24,After,62.99666667,40.38
25,After,62.99333333,40.36333333
26,After,63.01666667,40.35333333
27,After,62.83333333,40.34666667
28,After,62.79,40.33666667
29,After,62.81666667,40.32666667
30,After,62.75333333,40.31
31,After,62.59333333,40.3
32,After,62.57333333,40.29333333
33,After,62.32666667,40.28666667
34,After,62.26333333,40.26333333
35,After,62.37666667,40.26333333
36,After,62.53666667,40.27
37,After,62.57666667,40.25666667
38,After,62.36333333,40.24333333
39,After,61.94,40.23333333
40,After,61.43666667,40.20666667
41,After,61,40.18333333
42,After,61,40.17
