Time,State,Temperature,Humidity
1,Before,39.84666667,73.19
2,Before,39.78333333,73.11666667
3,Before,39.75,73.02666667
4,Before,39.74,72.76666667
5,Before,39.74,72.45666667
6,Before,39.73333333,72.13666667
7,Before,39.74666667,71.80666667
8,Before,39.75333333,71.34666667
9,Before,39.74,70.97666667
10,Before,39.74333333,70.56666667
11,Before,39.74333333,70.13333333
12,Before,39.73666667,69.72333333
13,Before,39.72,69.27333333
14,Before,39.72,68.78666667
15,Before,39.69666667,68.37666667
16,Before,39.68666667,67.86
17,Before,39.68,67.37666667
18,Before,39.66666667,66.93666667
19,Before,39.64,66.41
20,Before,39.63333333,65.89333333
21,Before,39.61,65.29333333
22,After,40.00666667,72.65333333
23,After,39.95,72.58666667
24,After,39.91333333,72.48
25,After,39.89,72.26666667
26,After,39.88,71.95666667
27,After,39.88666667,71.67333333
28,After,39.88,71.34333333
29,After,39.88,70.93
30,After,39.87,70.56
31,After,39.87,70.16
32,After,39.86333333,69.73333333
33,After,39.86333333,69.32666667
34,After,39.85,68.88333333
35,After,39.83666667,68.40333333
36,After,39.82333333,67.95333333
37,After,39.81,67.48333333
38,After,39.79666667,67.00666667
39,After,39.78333333,66.54666667
40,After,39.76,66.03666667
41,After,39.75,65.52
42,After,39.73333333,64.92
