Time,State,Humidity,Temperature
1,Before,37.77666667,39.88666667
2,Before,38.26333333,39.86666667
3,Before,38.22333333,39.83333333
4,Before,38.03,39.81333333
5,Before,37.85,39.78666667
6,Before,37.65333333,39.78
7,Before,37.43333333,39.76333333
8,Before,37.22666667,39.75
9,Before,37.47666667,39.81666667
10,Before,37.40666667,39.83
11,Before,37.73,39.88
12,Before,37.75666667,39.91
13,Before,37.59,39.92666667
14,Before,37.35,39.92
15,Before,37.12666667,39.92666667
16,Before,36.94666667,39.92
17,Before,36.75666667,39.90666667
18,Before,36.55,39.89333333
19,Before,36.33666667,39.88666667
20,Before,36.14333333,39.88333333
21,Before,35.96,39.87
22,After,37.52333333,39.96
23,After,38.03333333,39.91333333
24,After,38.02666667,39.87666667
25,After,37.83333333,39.85
26,After,37.68666667,39.81666667
27,After,37.47333333,39.8
28,After,37.28,39.78
29,After,37.07666667,39.76666667
30,After,37.35333333,39.80666667
31,After,37.30666667,39.81666667
32,After,37.62,39.84666667
33,After,37.68,39.88333333
34,After,37.50666667,39.89
35,After,37.29,39.9
36,After,37.08666667,39.89666667
37,After,36.87333333,39.89333333
38,After,36.67,39.88333333
39,After,36.45333333,39.87333333
40,After,36.25,39.87
41,After,36.04333333,39.86
42,After,35.87666667,39.85
