Time,State,Humidity,Temperature
1,Before,58.31,31.69
2,Before,58.11,31.66666667
3,Before,58.58333333,31.69
4,Before,58.18,31.66
5,Before,57.89333333,31.64333333
6,Before,58.20333333,31.65666667
7,Before,57.82,31.63666667
8,Before,58.21,31.65666667
9,Before,57.83,31.63
10,Before,58.05333333,31.64333333
11,Before,57.86,31.63
12,Before,58.12333333,31.63333333
13,Before,57.82,31.62666667
14,Before,57.3,31.6
15,Before,56.74,31.58
16,Before,56.15666667,31.58
17,Before,57.40333333,31.65333333
18,Before,57.25666667,31.66666667
19,Before,58.21333333,31.73
20,Before,57.82666667,31.75
21,Before,58.02333333,31.78333333
22,After,57.62666667,31.84333333
23,After,57.40666667,31.81
24,After,57.93333333,31.83666667
25,After,57.56,31.79333333
26,After,57.24,31.77333333
27,After,57.60666667,31.78
28,After,57.22666667,31.75666667
29,After,57.63333333,31.78
30,After,57.27,31.75333333
31,After,57.44666667,31.76
32,After,57.30666667,31.74
33,After,57.56666667,31.74666667
34,After,57.29666667,31.73333333
35,After,56.78666667,31.71666667
36,After,56.23666667,31.69666667
37,After,55.68333333,31.68333333
38,After,56.84333333,31.72333333
39,After,56.82666667,31.74
40,After,57.74666667,31.79
41,After,57.40666667,31.80333333
42,After,57.50333333,31.83
