Time,State,Temperature,Humidity
1,Before,32.61,68.95666667
2,Before,33.07,67.54333333
3,Before,33.54666667,66
4,Before,34.03333333,64.37666667
5,Before,34.53,62.72333333
6,Before,35.03666667,61.01666667
7,Before,35.46333333,59.49333333
8,Before,35.92333333,57.88333333
9,Before,36.36333333,56.53333333
10,Before,36.82,55.55333333
11,Before,37.32,56.75666667
12,Before,37.80666667,58.48
13,Before,38.26333333,59.76
14,Before,38.73666667,60.47666667
15,Before,39.08333333,60.11666667
16,Before,39.39666667,61.69333333
17,Before,39.60666667,63.52666667
18,Before,39.70333333,65.34333333
19,Before,39.74666667,67.12333333
20,Before,39.7,67.26
21,Before,39.69,68.58
22,Before,39.63,68.72333333
23,Before,39.57333333,68.81666667
24,Before,39.51,68.42666667
25,Before,39.47666667,68.14
26,Before,39.49333333,68.19333333
27,Before,39.51666667,68.16333333
28,Before,39.54666667,67.58333333
29,Before,39.60666667,67.52333333
30,Before,39.67333333,67.71333333
31,Before,39.74,67.53333333
32,Before,39.78,67.16
33,Before,39.85,67.35666667
34,Before,39.90666667,67.53
35,Before,39.91666667,67.06
36,Before,39.96333333,67.20333333
37,Before,39.98333333,67.02
38,Before,39.99666667,66.64
39,Before,40.05,67.22333333
40,Before,40.03666667,66.79333333
41,Before,40.05333333,67.31666667
42,Before,40.03333333,66.88333333
43,Before,40.05666667,67.38
44,Before,40.03,66.91333333
45,Before,40.04,67.29333333
46,Before,40.00666667,66.82
47,Before,40.01666667,66.99333333
48,Before,39.99666667,66.37666667
49,Before,40.00666667,66.5
50,Before,40.01666667,66.61666667
51,Before,40.03666667,66.63
52,Before,40.04333333,66.55
53,Before,40.05666667,66.35666667
54,Before,40.07,66.1
55,Before,40.07666667,65.76
56,Before,40.08333333,65.32666667
57,Before,40.09333333,64.79666667
58,Before,40.08333333,64.27666667
59,Before,40.08,63.66
60,Before,40.09666667,63.01333333
61,Before,40.08666667,62.52
62,Before,40.1,61.99333333
63,Before,40.08333333,61.62333333
64,Before,40.14666667,62.81333333
65,Before,40.19,64.75333333
66,Before,40.18666667,65.03333333
67,Before,40.18,64.92666667
68,Before,40.22333333,66.34
69,Before,40.22,66.33
70,Before,40.26,67.23333333
71,Before,40.21666667,66.45
72,Before,40.24333333,66.71666667
73,Before,40.22,65.94
74,Before,40.23666667,66.08333333
75,Before,40.25,66.3
76,Before,40.24666667,66.05666667
77,Before,40.25333333,65.93
78,Before,40.27666667,66.49333333
79,Before,40.26333333,66.18
80,Before,40.28666667,66.36
81,Before,40.3,66.43666667
82,Before,40.28666667,66.12333333
83,Before,40.32,66.48
84,Before,40.31333333,66.18
85,Before,40.33,66.36
86,Before,40.35,66.69
87,Before,40.36666667,66.96
88,Before,40.39,67.08666667
89,Before,40.39333333,67.08666667
90,Before,40.41,66.97666667
91,Before,40.41333333,66.73333333
92,Before,40.41666667,66.42333333
93,Before,40.42666667,66
94,Before,40.41666667,65.54666667
95,Before,40.41666667,65.01666667
96,Before,40.40333333,64.45333333
97,Before,40.42,64.42666667
98,Before,40.46,65.21
99,Before,40.47666667,65.57666667
100,Before,40.49333333,66
101,Before,40.53666667,66.83333333
102,Before,40.55333333,67.59333333
103,Before,40.58,68.17333333
104,Before,40.61333333,68.55666667
105,Before,40.63666667,68.81333333
106,Before,40.65666667,68.99
107,Before,40.67666667,69
108,Before,40.69,68.95666667
109,Before,40.71,68.77666667
110,Before,40.71666667,68.53333333
111,Before,40.72666667,68.19
112,Before,40.7,67.37333333
113,Before,40.69333333,66.43
114,Before,40.67333333,65.62
115,Before,40.67666667,64.93666667
116,Before,40.65333333,64.2
117,Before,40.65,63.40666667
118,Before,40.65333333,62.59666667
119,Before,40.64,62.00333333
120,Before,40.64,61.47333333
121,Before,40.65333333,61.85666667
122,Before,40.73,63.68
123,Before,40.77,65.22
124,Before,40.76666667,65.47
125,Before,40.79,65.71
126,Before,40.83,66.71
127,Before,40.82333333,66.55
128,Before,40.89,67.80666667
129,Before,40.92666667,68.90333333
130,Before,40.97333333,69.89666667
131,Before,41.00666667,70.72
132,Before,41.04333333,71.40666667
133,Before,41.04333333,71.05333333
134,Before,41.01,69.82
135,Before,40.96666667,68.54333333
136,Before,40.91333333,67.32666667
