Time,State,Temperature,Humidity
1,Before,35.99,54.47666667
2,Before,36.04333333,54.94
3,Before,36.12333333,57.16666667
4,Before,36.12666667,57.10333333
5,Before,36.19,58.48666667
6,Before,36.19333333,58.26666667
7,Before,36.25,59.22666667
8,Before,36.23333333,58.61
9,Before,36.27666667,58.94666667
10,Before,36.27666667,58.38666667
11,Before,36.3,58.57666667
12,Before,36.31,58.12
13,Before,36.36,58.58666667
14,Before,36.37333333,58.55666667
15,Before,36.40333333,58.64666667
16,Before,36.39333333,58.18666667
17,Before,36.44,58.47
18,Before,36.42333333,57.86
19,Before,36.47333333,58.08333333
20,Before,36.47,57.81666667
21,Before,36.51333333,58.16666667
22,After,36.09,54.17333333
23,After,36.12666667,54.65
24,After,36.21333333,56.88
25,After,36.21333333,56.83
26,After,36.27666667,58.20333333
27,After,36.28,57.97666667
28,After,36.33,58.95333333
29,After,36.32,58.34666667
30,After,36.36,58.66666667
31,After,36.35666667,58.10666667
32,After,36.39333333,58.32666667
33,After,36.39666667,57.86666667
34,After,36.44,58.34666667
35,After,36.45666667,58.28
36,After,36.48666667,58.40333333
37,After,36.48,57.92333333
38,After,36.52333333,58.23666667
39,After,36.51333333,57.60666667
40,After,36.54666667,57.84666667
41,After,36.55333333,57.55
42,After,36.59,57.92666667
