Time,State,Temperature,Humidity
1,Before,39.66666667,63.14
2,Before,39.66,62.55
3,Before,39.65666667,61.96
4,Before,39.63333333,61.31
5,Before,39.63,60.67666667
6,Before,39.62666667,60.03666667
7,Before,39.60333333,59.40666667
8,Before,39.58,58.82333333
9,Before,39.57666667,58.24333333
10,Before,39.57666667,57.72333333
11,Before,39.59,57.20666667
12,Before,39.59333333,56.88333333
13,Before,39.62333333,56.80333333
14,Before,39.65666667,57.28333333
15,Before,39.73666667,59.37
16,Before,39.81,61.48666667
17,Before,39.86333333,63.45
18,Before,39.88333333,64.11
19,After,39.82333333,62.69
20,After,39.79666667,62.13666667
21,After,39.78,61.56666667
22,After,39.76666667,60.95
23,After,39.75333333,60.33
24,After,39.73333333,59.7
25,After,39.72,59.07666667
26,After,39.69333333,58.50333333
27,After,39.68,57.93333333
28,After,39.67,57.40333333
29,After,39.67333333,56.95
30,After,39.68666667,56.61333333
31,After,39.71333333,56.55666667
32,After,39.73333333,57
33,After,39.80666667,59.07
34,After,39.87333333,61.16666667
35,After,39.94,63.13666667
36,After,39.97,63.76
