Time,State,Humidity,Temperature
1,Before,43.62333333,31.73333333
2,Before,43.52333333,31.71333333
3,Before,43.47333333,31.69333333
4,Before,43.41333333,31.67333333
5,Before,43.35666667,31.65
6,Before,43.27333333,31.62666667
7,Before,43.14333333,31.6
8,Before,43.03,31.59
9,Before,42.94,31.57333333
10,Before,42.91666667,31.57333333
11,Before,42.89333333,31.57
12,Before,42.87,31.59
13,Before,42.80666667,31.59333333
14,Before,42.57666667,31.58333333
15,Before,42.33666667,31.58333333
16,Before,42.13333333,31.59666667
17,Before,41.95333333,31.59666667
18,Before,41.79666667,31.61333333
19,Before,41.63333333,31.62
20,Before,41.48666667,31.62666667
21,Before,41.34333333,31.64
22,After,43.00666667,31.92
23,After,42.96333333,31.89
24,After,42.92666667,31.86
25,After,42.89,31.82666667
26,After,42.85,31.80333333
27,After,42.74666667,31.78666667
28,After,42.63,31.76
29,After,42.51333333,31.73666667
30,After,42.44333333,31.72
31,After,42.41666667,31.70666667
32,After,42.41666667,31.7
33,After,42.43,31.70666667
34,After,42.40666667,31.70333333
35,After,42.18,31.69666667
36,After,41.93666667,31.68666667
37,After,41.74666667,31.69666667
38,After,41.57333333,31.69333333
39,After,41.46,31.70333333
40,After,41.3,31.71
41,After,41.17666667,31.71333333
42,After,41.04,31.71
