Time,State,Temperature,Humidity
1,Before,39.79666667,64.78333333
2,Before,39.86,65.66
3,Before,39.9,66.08
4,Before,39.93333333,66.35666667
5,Before,39.98,66.76
6,Before,40.00333333,66.81
7,Before,40.03666667,66.69
8,Before,40.06333333,66.61
9,Before,40.06333333,66.58
10,Before,40.09,66.61
11,Before,40.11,66.69333333
12,Before,40.11,66.75
13,Before,40.11666667,66.67
14,Before,40.11333333,65.88
15,Before,40.09666667,64.95666667
16,Before,40.09,64.87
17,Before,40.11666667,65.69333333
18,Before,40.09333333,65.40333333
19,Before,40.09333333,65.37
20,Before,40.12333333,66.32333333
21,Before,40.12,66.61
22,After,39.68,64.82333333
23,After,39.71,65.72
24,After,39.74,66.19
25,After,39.77666667,66.69
26,After,39.80666667,67.12
27,After,39.83,67.2
28,After,39.85,67.16
29,After,39.87333333,67.11
30,After,39.89,67.13666667
31,After,39.90666667,67.16
32,After,39.91666667,67.19
33,After,39.92,67.22
34,After,39.93333333,67.27
35,After,39.94666667,66.61333333
36,After,39.93666667,65.71666667
37,After,39.93333333,65.32333333
38,After,39.94666667,66.02666667
39,After,39.94666667,65.97666667
40,After,39.95,65.75
41,After,39.95666667,66.54
42,After,39.97,66.96666667
