Time,State,Humidity,Temperature
1,Before,59.84,36.17666667
2,Before,60.07,36.17
3,Before,60.19333333,36.22
4,Before,60.15666667,36.25333333
5,Before,59.98666667,36.31333333
6,Before,59.66666667,36.36333333
7,Before,59.23,36.42
8,Before,58.71666667,36.47333333
9,Before,58.13,36.52333333
10,Before,57.50666667,36.57
11,Before,57.05333333,36.62333333
12,Before,56.72333333,36.68333333
13,Before,56.33,36.73
14,Before,55.66333333,36.75666667
15,Before,54.98666667,36.78
16,Before,54.34,36.81333333
17,Before,53.75666667,36.84333333
18,Before,53.15,36.87333333
19,Before,52.61,36.9
20,Before,52.1,36.93
21,Before,51.63,36.96666667
22,After,58.61333333,36.46
23,After,59.12,36.38333333
24,After,59.35333333,36.38666667
25,After,59.4,36.40666667
26,After,59.28,36.44333333
27,After,59.03,36.48333333
28,After,58.65333333,36.52
29,After,58.18,36.56
30,After,57.63333333,36.6
31,After,57.02666667,36.63666667
32,After,56.60333333,36.68333333
33,After,56.28666667,36.73666667
34,After,55.93666667,36.78333333
35,After,55.26333333,36.81333333
36,After,54.61333333,36.82666667
37,After,53.96333333,36.86333333
38,After,53.4,36.88333333
39,After,52.8,36.91
40,After,52.28666667,36.94333333
41,After,51.76666667,36.96666667
42,After,51.31666667,37
