Time,State,Humidity,Temperature
1,Before,39.86333333,35.84666667
2,Before,39.74666667,35.85666667
3,Before,39.65333333,35.86666667
4,Before,39.53666667,35.86666667
5,Before,39.48,35.88
6,Before,39.47666667,35.87
7,Before,39.53666667,35.86666667
8,Before,39.59666667,35.88
9,Before,39.67666667,35.86333333
10,Before,39.71,35.86333333
11,Before,39.7,35.87
12,After,39.99666667,35.80666667
13,After,39.89333333,35.81666667
14,After,39.88,35.80333333
15,After,39.81,35.79666667
16,After,39.73666667,35.79333333
17,After,39.77333333,35.78333333
18,After,39.76,35.77333333
19,After,39.79666667,35.77
20,After,39.87666667,35.76333333
21,After,39.91333333,35.76333333
22,After,39.98,35.74333333
