Time,State,Humidity,Temperature
1,Before,64.70333333,40.46666667
2,Before,63.87,40.46666667
3,Before,62.95333333,40.43
4,Before,62.07,40.4
5,Before,61.22666667,40.39666667
6,Before,60.62,40.4
7,Before,60.21666667,40.39666667
8,Before,60.39,40.43666667
9,Before,62.19333333,40.49333333
10,Before,63.55666667,40.55
11,Before,63.89666667,40.57666667
12,Before,65.34,40.62
13,Before,65.21666667,40.63
14,Before,66.33333333,40.68333333
15,Before,66.09,40.71333333
16,Before,66.52666667,40.72666667
17,Before,66.73333333,40.74333333
18,Before,66.51,40.76666667
19,Before,67.2,41.01666667
20,Before,66.75333333,40.86333333
21,Before,67.49,41.01666667
22,After,64.26333333,40.51333333
23,After,63.49,40.50666667
24,After,62.57666667,40.46333333
25,After,61.73666667,40.42666667
26,After,60.93,40.41666667
27,After,60.33333333,40.41
28,After,59.94,40.41333333
29,After,60.02333333,40.42333333
30,After,61.78,40.49333333
31,After,63.21,40.56
32,After,63.47,40.58333333
33,After,64.89666667,40.62333333
34,After,64.80666667,40.64
35,After,65.89666667,40.68
36,After,65.66666667,40.72333333
37,After,66.17333333,40.73
38,After,66.31333333,40.75333333
39,After,66.14333333,40.76333333
40,After,66.81,41.01666667
41,After,66.38333333,40.86666667
42,After,67.13,41.01666667
