Time,State,Humidity,Temperature
1,Before,56.21333333,36.89
2,Before,56.21333333,36.91666667
3,Before,56.12,36.91333333
4,Before,56.23666667,36.91666667
5,Before,56.03333333,36.90666667
6,Before,55.92333333,36.89
7,Before,55.77,36.89
8,Before,55.75666667,36.87
9,Before,55.48333333,36.84
10,Before,55.19,36.83
11,Before,55.09666667,36.80333333
12,Before,55.13666667,36.77666667
13,Before,55.13666667,36.76333333
14,Before,55.27333333,36.75333333
15,Before,55.31333333,36.73
16,Before,55.51666667,36.71333333
17,Before,55.73333333,36.68666667
18,Before,55.70666667,36.67
19,Before,55.4,36.65
20,Before,54.92333333,36.63
21,Before,54.48,36.59333333
22,After,56.03,36.91
23,After,56.05333333,36.91333333
24,After,56.05333333,36.91
25,After,56.10666667,36.90666667
26,After,56.05,36.89666667
27,After,55.94,36.87666667
28,After,55.83333333,36.86666667
29,After,55.82666667,36.84333333
30,After,55.69333333,36.82333333
31,After,55.47333333,36.79666667
32,After,55.35333333,36.76666667
33,After,55.23333333,36.75333333
34,After,55.23,36.73666667
35,After,55.32333333,36.71333333
36,After,55.34333333,36.70333333
37,After,55.48,36.67666667
38,After,55.61666667,36.66
39,After,55.70333333,36.64666667
40,After,55.58333333,36.62666667
41,After,55.30666667,36.60333333
42,After,54.94333333,36.57333333
