Time,State,Temperature,Humidity
1,Before,35.34,66.81333333
2,Before,35.31666667,66.14
3,Before,35.37333333,66.52666667
4,Before,35.34666667,65.79
5,Before,35.39666667,66.33666667
6,Before,35.37666667,65.62333333
7,Before,35.4,65.84
8,Before,35.41666667,65.46
9,Before,35.41666667,65.19333333
10,Before,35.46333333,65.34333333
11,Before,35.45333333,64.54333333
12,Before,35.52,65.05666667
13,Before,35.51333333,64.39333333
14,Before,35.52333333,64.24
15,Before,35.57,64.98333333
16,Before,35.54666667,64.26333333
17,Before,35.60666667,65.26333333
18,Before,35.58666667,64.78333333
19,Before,35.61666667,65.28666667
20,Before,35.60666667,64.79333333
21,Before,35.58333333,64.04333333
22,After,35.46666667,66.4
23,After,35.44333333,65.71666667
24,After,35.48333333,66.15
25,After,35.47,65.39333333
26,After,35.51,65.98
27,After,35.49,65.24333333
28,After,35.50666667,65.43333333
29,After,35.52333333,65.09666667
30,After,35.53333333,64.81333333
31,After,35.57666667,65.01333333
32,After,35.56,64.21333333
33,After,35.61,64.72333333
34,After,35.61666667,64.07
35,After,35.60666667,63.89333333
36,After,35.66333333,64.67
37,After,35.65,63.94
38,After,35.69666667,64.94333333
39,After,35.69,64.45
40,After,35.71666667,64.94333333
41,After,35.71333333,64.44333333
42,After,35.68666667,63.68
