Time,State,Temperature,Humidity
1,Before,34.97666667,65.65
2,Before,35.03,64.62
3,Before,35.09,63.69666667
4,Before,35.14,62.83
5,Before,35.19666667,61.89666667
6,Before,35.24333333,61.02
7,Before,35.28666667,60.24333333
8,Before,35.34666667,59.65333333
9,Before,35.40666667,59.18666667
10,Before,35.46333333,58.81666667
11,Before,35.54,59.41666667
12,Before,35.63,61.29
13,Before,35.71666667,63.16666667
14,Before,35.80666667,64.79666667
15,Before,35.88666667,66.22666667
16,Before,35.94,65.82
17,Before,36.00666667,65.91
18,Before,36.08,66.82666667
19,Before,36.12333333,66.22666667
20,Before,36.19333333,66.78333333
21,Before,36.18666667,65.48
22,After,34.91666667,65.94333333
23,After,34.96666667,64.88333333
24,After,35.04,63.91666667
25,After,35.10333333,63.03
26,After,35.16333333,62.07
27,After,35.20666667,61.15666667
28,After,35.26,60.33
29,After,35.32666667,59.72333333
30,After,35.39333333,59.25666667
31,After,35.45666667,58.84333333
32,After,35.52666667,59.36333333
33,After,35.62333333,61.29666667
34,After,35.70666667,63.15666667
35,After,35.78666667,64.80333333
36,After,35.87333333,66.26333333
37,After,35.93333333,65.92
38,After,36,65.92
39,After,36.07333333,66.89666667
40,After,36.12333333,66.29333333
41,After,36.18333333,66.9
42,After,36.18333333,65.49333333
