Time,State,Temperature,Humidity
1,Before,39.19666667,68.22333333
2,Before,39.19,67.91666667
3,Before,39.20333333,67.49
4,Before,39.19,66.92
5,Before,39.2,66.37
6,Before,39.19333333,66.02
7,Before,39.18,65.82
8,Before,39.18,67.01
9,Before,39.18333333,68.21
10,Before,39.19,68.84
11,Before,39.20666667,69.09333333
12,Before,39.21666667,69.75333333
13,Before,39.22666667,69.52
14,Before,39.22666667,69.48333333
15,Before,39.22333333,69.43333333
16,Before,39.22,69.25
17,Before,39.22,69.06666667
18,Before,39.21,69.14666667
19,Before,39.21333333,69.17666667
20,Before,39.21666667,68.35666667
21,After,39.16333333,68.17666667
22,After,39.15333333,67.8
23,After,39.16,67.22
24,After,39.16,66.51333333
25,After,39.14666667,66.00666667
26,After,39.14666667,65.61666667
27,After,39.14666667,65.76333333
28,After,39.14333333,67.85666667
29,After,39.14666667,68.68333333
30,After,39.15666667,69.67
31,After,39.16,69.7
32,After,39.15666667,70.38
33,After,39.15333333,70.04
34,After,39.15666667,69.74
35,After,39.15,69.72
36,After,39.15333333,69.69
37,After,39.14666667,69.35333333
38,After,39.14666667,69.37333333
39,After,39.15,69.65
40,After,39.13666667,67.55333333
