Time,State,Temperature,Humidity
1,Before,35.38,65.20666667
2,Before,35.48666667,65.62
3,Before,35.54666667,65.25333333
4,Before,35.63666667,65.46
5,Before,35.69333333,65.04333333
6,Before,35.77333333,65.09
7,Before,35.83333333,64.81333333
8,Before,35.90333333,64.61666667
9,Before,35.96333333,64.38333333
10,Before,36.03666667,64.49666667
11,Before,36.07,63.92666667
12,Before,36.14333333,63.73333333
13,Before,36.21,63.64
14,Before,36.27333333,63.42333333
15,Before,36.33,63.09
16,Before,36.37666667,62.61333333
17,Before,36.42333333,62.12
18,Before,36.46666667,61.49
19,Before,36.50666667,60.95
20,Before,36.56666667,60.6
21,Before,36.62333333,60.23333333
22,After,35.49666667,64.64333333
23,After,35.60333333,65.07
24,After,35.66,64.69333333
25,After,35.76,64.91333333
26,After,35.80666667,64.5
27,After,35.88333333,64.52333333
28,After,35.95333333,64.26666667
29,After,36.01,64.06
30,After,36.07666667,63.82666667
31,After,36.15666667,63.94
32,After,36.19,63.36666667
33,After,36.26,63.20333333
34,After,36.32666667,63.08666667
35,After,36.38333333,62.87
36,After,36.43666667,62.53666667
37,After,36.49,62.06666667
38,After,36.53333333,61.56
39,After,36.58,60.96
40,After,36.61666667,60.40666667
41,After,36.67,60.07
42,After,36.73666667,59.72333333
