Time,State,Temperature,Humidity
1,Before,39.59666667,71.82666667
2,Before,39.65,72.55
3,Before,39.70333333,73.18
4,Before,39.74333333,73.74
5,Before,39.79333333,74.23
6,Before,39.82,74.51
7,Before,39.78333333,73.97333333
8,Before,39.83,74.31
9,Before,39.83,74.59
10,Before,39.83666667,74.5
11,Before,39.81333333,74.16666667
12,Before,39.83,74.42
13,Before,39.83,74.63
14,Before,39.82,74.74333333
15,Before,39.82333333,74.86
16,Before,39.82,74.9
17,Before,39.81,74.86
18,Before,39.77,74.8
19,Before,39.73666667,74.72
20,Before,39.7,74.66
21,Before,39.6,73.35
22,After,39.69333333,71.47666667
23,After,39.74333333,72.2
24,After,39.79666667,72.84333333
25,After,39.84,73.40333333
26,After,39.89333333,73.89666667
27,After,39.92666667,74.17666667
28,After,39.89333333,73.61
29,After,39.93,73.95
30,After,39.94666667,74.21666667
31,After,39.94,74.13
32,After,39.93333333,73.79333333
33,After,39.94,74.03333333
34,After,39.95,74.25
35,After,39.94666667,74.33666667
36,After,39.94666667,74.45666667
37,After,39.94333333,74.50666667
38,After,39.92333333,74.45666667
39,After,39.89666667,74.39666667
40,After,39.86666667,74.29333333
41,After,39.82666667,74.23666667
42,After,39.72666667,72.91
