Time,State,Temperature,Humidity
1,Before,40.24666667,72.57666667
2,Before,40.3,73.15333333
3,Before,40.35333333,73.65
4,Before,40.38,73.66
5,Before,40.36,72.62666667
6,Before,40.43,72.76
7,Before,40.49,73.12
8,Before,40.54,73.36666667
9,Before,40.57666667,73.63
10,Before,40.61333333,73.83
11,Before,40.64666667,74.01666667
12,Before,40.67,74.19
13,Before,40.66,74.32333333
14,Before,40.65666667,74.51
15,Before,40.61333333,74.27666667
16,Before,40.56333333,73.9
17,Before,40.51,74.1
18,Before,40.44,74.39
19,Before,40.37333333,74.64
20,Before,40.29333333,74.87
21,Before,40.21666667,75.06
22,After,40.35666667,72.17333333
23,After,40.39666667,72.74666667
24,After,40.45,73.24
25,After,40.48666667,73.29333333
26,After,40.46,72.25
27,After,40.52333333,72.38
28,After,40.58333333,72.75
29,After,40.63,73.01333333
30,After,40.68,73.26
31,After,40.70666667,73.45333333
32,After,40.74666667,73.65
33,After,40.77666667,73.79
34,After,40.76666667,73.94
35,After,40.76333333,74.09666667
36,After,40.74,73.85666667
37,After,40.69,73.45
38,After,40.63666667,73.62
39,After,40.57333333,73.88333333
40,After,40.51,74.13666667
41,After,40.44,74.32333333
42,After,40.36666667,74.52333333
