Time,State,Humidity,Temperature
1,Before,66.1867,36.08333333
2,Before,66.2833,36.10333333
3,Before,66.55,36.13333333
4,Before,66.83,36.15666667
5,Before,67.02,36.18
6,Before,67.13,36.2
7,Before,67.1433,36.21666667
8,Before,67.08,36.21
9,Before,66.87,36.22666667
10,Before,66.57,36.23
11,Before,66.19,36.21333333
12,Before,65.7033,36.21333333
13,Before,65.0367,36.22
14,Before,64.51,36.18333333
15,Before,64.08,36.18333333
16,Before,64.0167,36.17333333
17,Before,64.16,36.17666667
18,Before,64.29,36.17
19,Before,64.64,36.16666667
20,Before,65.12,36.17333333
21,Before,65.48,36.17
22,After,65.7867,36.08
23,After,65.8333,36.09666667
24,After,66.05,36.10666667
25,After,66.2633,36.11666667
26,After,66.51,36.13
27,After,66.6533,36.14
28,After,66.73,36.15333333
29,After,66.7467,36.15666667
30,After,66.6567,36.15666667
31,After,66.5033,36.16333333
32,After,66.2433,36.16333333
33,After,65.9033,36.15
34,After,65.4667,36.13666667
35,After,64.95,36.12
36,After,64.4967,36.11333333
37,After,64.27,36.11
38,After,64.27,36.09
39,After,64.35,36.07666667
40,After,64.48,36.07666667
41,After,64.79,36.08
42,After,65.1433,36.09
