Time,State,Humidity,Temperature
1,Before,51.74,31.38666667
2,Before,54.9,31.55333333
3,Before,55.59,31.63333333
4,Before,57.30333333,31.75
5,Before,58.55333333,31.86
6,Before,58.2,31.91333333
7,Before,59.31666667,32
8,Before,58.98,32.03333333
9,Before,60,32.11666667
10,Before,59.41,32.12333333
11,Before,58.75,32.12333333
12,Before,58.11,32.1
13,Before,58.72333333,32.14333333
14,Before,58.30333333,32.12666667
15,Before,58.43,32.13333333
16,Before,58.32333333,32.13
17,Before,57.77666667,32.12333333
18,Before,58.14333333,32.13666667
19,Before,57.85,32.11333333
20,Before,58.02666667,32.10333333
21,Before,57.81666667,32.10333333
22,After,51.08,31.50666667
23,After,54.20666667,31.65333333
24,After,54.97666667,31.73
25,After,56.74333333,31.84
26,After,57.97666667,31.93666667
27,After,57.68333333,31.98333333
28,After,58.79333333,32.06666667
29,After,58.45333333,32.10333333
30,After,59.49333333,32.19
31,After,58.94,32.2
32,After,58.27,32.19
33,After,57.61666667,32.17
34,After,58.21,32.21
35,After,57.80666667,32.20333333
36,After,57.87333333,32.21
37,After,57.78666667,32.22
38,After,57.23666667,32.20333333
39,After,57.62666667,32.23
40,After,57.33666667,32.20333333
41,After,57.42666667,32.19333333
42,After,57.25666667,32.19
