Time,State,Humidity,Temperature
1,Before,66.88,39.70666667
2,Before,66.11,39.77666667
3,Before,65.25666667,39.83666667
4,Before,65.59,39.91333333
5,Before,66.16666667,40.04333333
6,Before,66.27,40.11
7,Before,65.94,40.16333333
8,Before,66.82,40.24333333
9,Before,67.66666667,40.30333333
10,Before,68.41,40.35666667
11,Before,69.01666667,40.39666667
12,Before,69.48,40.44
13,Before,69.79,40.48666667
14,Before,70.00666667,40.51333333
15,Before,70.17333333,40.54666667
16,Before,70.21,40.57666667
17,Before,70.20666667,40.62333333
18,Before,70,40.65
19,Before,69.86666667,40.69666667
20,Before,69.52666667,40.71666667
21,Before,68.7,40.74333333
22,After,66.65,39.6567
23,After,65.86,39.7367
24,After,64.98,39.7967
25,After,65.28333333,39.8767
26,After,65.86333333,40.0067
27,After,65.95333333,40.0833
28,After,65.60333333,40.13
29,After,66.44,40.22
30,After,67.24,40.2833
31,After,67.97666667,40.3433
32,After,68.57,40.4
33,After,69.01333333,40.4533
34,After,69.33,40.5067
35,After,69.52333333,40.53
36,After,69.69333333,40.57
37,After,69.73,40.6133
38,After,69.73666667,40.6433
39,After,69.52,40.68
40,After,69.37666667,40.74
41,After,69.05666667,40.75
42,After,68.35666667,40.78
